Form,Submission Count,Last Submission At,Fields,Source
Colne Quick Lead,0,,"Source_Page; Contact_Detail",Netlify project madereal
Quick Preview Lead,10,2026-06-22T12:51:59.989+00:00,"Source_Page; Contact_Detail",Netlify project madereal
Contact,0,2026-06-28T08:43:31.014+00:00,"name; email; message",Netlify project madereal
Website Request,10,2026-06-22T12:54:01.023+00:00,"Initial_Lead; Google_Business_Name; Google_Address; Google_Rating; Google_Phone; Google_Website; Manual_Business_Name; Manual_Trade; Manual_Location; Client_Name; Client_Contact",Netlify project madereal
